session_id,n_speakers_with_cdp,n_speakers_total,speaker_participation_cdp,total_cdp_score1,total_cdp_score2,gini_score1,gini_score2,conference,any_funded,funded_rate
2021_09_30_MZT_S4,3,10,0.3,18,2,0.4074074074074074,0.0,2021MZT,0.0,0.0
2021_09_30_MZT_S3,7,12,0.5833333333333334,23,5,0.3850931677018634,0.1333333333333333,2021MZT,0.0,0.0
2021_09_30_MZT_S2,4,11,0.3636363636363636,6,3,0.1666666666666667,0.1666666666666667,2021MZT,0.0,0.0
2021_04_23_MND_S9,4,11,0.3636363636363636,8,4,0.3333333333333335,0.25,2021MND,0.0,0.0
2021_04_23_MND_S7,6,9,0.6666666666666666,32,2,0.4166666666666665,0.0,2021MND,0.0,0.0
2021_04_23_MND_S6,13,35,0.3714285714285714,25,7,0.3490909090909091,0.119047619047619,2021MND,0.0,0.0
2020_11_05_NES_S2,2,11,0.1818181818181818,1,4,0.0,0.0,2020NES,0.0,0.0
2021_04_23_MND_S16,6,13,0.4615384615384615,19,6,0.4342105263157894,0.1333333333333333,2021MND,0.0,0.0
2021_04_23_MND_S12,6,13,0.4615384615384615,11,5,0.290909090909091,0.1499999999999999,2021MND,0.0,0.0
2021_04_23_MND_S1,8,14,0.5714285714285714,23,4,0.4099378881987578,0.0,2021MND,0.0,0.0
2021_04_22_MND_S8,6,11,0.5454545454545454,13,3,0.4038461538461537,0.0,2021MND,0.0,0.0
2021_04_22_MND_S7,8,12,0.6666666666666666,21,9,0.4702380952380953,0.2222222222222223,2021MND,0.0,0.0
2021_04_22_MND_S3,6,10,0.6,8,4,0.1500000000000001,0.0,2021MND,0.0,0.0
2022_04_08_MND_S8,6,10,0.6,24,7,0.4000000000000001,0.3809523809523809,2022MND,0.0,0.0
2020_11_06_NES_S10,1,11,0.0909090909090909,4,1,0.0,0.0,2020NES,,
2021_05_20_ABI_S1,7,13,0.5384615384615384,24,5,0.4444444444444444,0.3,2021ABI,,
2021_05_21_ABI_S1,5,12,0.4166666666666667,43,9,0.6325581395348838,0.4444444444444444,2021ABI,,
2021_05_21_ABI_S10,5,9,0.5555555555555556,38,12,0.631578947368421,0.5,2021ABI,,
2021_05_21_ABI_S16,11,17,0.6470588235294118,39,11,0.4025641025641024,0.2575757575757575,2021ABI,,
2021_05_21_ABI_S5,9,13,0.6923076923076923,53,7,0.6792452830188678,0.3571428571428572,2021ABI,,
2021_05_21_ABI_S6,4,11,0.3636363636363636,32,7,0.296875,0.25,2021ABI,,
output-2021-05-20-ABI-S1,6,10,0.6,7,6,0.1714285714285714,0.25,2021ABI,,
2021_10_07_CMC_S6,5,12,0.4166666666666667,18,9,0.5833333333333333,0.2777777777777777,2021CMC,,
2021_10_07_CMC_S7,4,10,0.4,11,4,0.3636363636363637,0.1666666666666667,2021CMC,,
2021_10_08_CMC_S10,4,16,0.25,17,9,0.5441176470588236,0.3703703703703704,2021CMC,,
2021_04_22_MND_S5,14,53,0.2641509433962264,14,10,0.3571428571428572,0.0888888888888888,2021MND,,
2021_04_22_MND_S6,7,15,0.4666666666666667,29,14,0.4080459770114941,0.3571428571428572,2021MND,,
2021_04_23_MND_S10,8,13,0.6153846153846154,31,3,0.3669354838709677,0.1666666666666667,2021MND,,
2021_04_23_MND_S13,9,14,0.6428571428571429,35,7,0.5206349206349206,0.2285714285714286,2021MND,,
2021_04_23_MND_S14,12,30,0.4,31,8,0.3413978494623657,0.25,2021MND,,
2021_04_23_MND_S15,15,19,0.7894736842105263,30,12,0.4051282051282052,0.3333333333333332,2021MND,,
2021_04_23_MND_S4,8,10,0.8,24,10,0.4761904761904763,0.3500000000000001,2021MND,,
2021_04_23_MND_S8,5,10,0.5,16,12,0.53125,0.5,2021MND,,
2021_10_01_MZT_S9,6,16,0.375,26,15,0.5230769230769232,0.4499999999999999,2021MZT,,
2021_11_04_NES_S4,4,12,0.3333333333333333,29,8,0.5603448275862069,0.0,2021NES,,
2021_11_05_NES_S12,10,15,0.6666666666666666,30,14,0.5925925925925926,0.5357142857142858,2021NES,,
2021_11_05_NES_S8,7,13,0.5384615384615384,29,14,0.5114942528735631,0.4857142857142857,2021NES,,
2021_06_10_SLU_S7,9,13,0.6923076923076923,28,17,0.3839285714285714,0.4705882352941177,2021SLU,,
2021_06_11_SLU_S2,5,13,0.3846153846153846,20,5,0.26,0.3,2021SLU,,
2021_06_11_SLU_S5,5,12,0.4166666666666667,13,4,0.4307692307692308,0.25,2021SLU,,
2022_04_07_MND_S3,6,11,0.5454545454545454,12,4,0.3888888888888888,0.1666666666666667,2022MND,,
2022_04_08_MND_S10,3,5,0.6,10,3,0.2666666666666668,0.1666666666666667,2022MND,,
2022_04_08_MND_S12,2,4,0.5,2,0,0.0,,2022MND,,
2022_04_08_MND_S2,7,10,0.7,42,8,0.564625850340136,0.3125,2022MND,,
2022_04_08_MND_S3,7,8,0.875,22,4,0.4675324675324677,0.25,2022MND,,
2022_04_08_MND_S6,1,3,0.3333333333333333,1,1,0.0,0.0,2022MND,,
2022_04_08_MND_S9,6,9,0.6666666666666666,34,8,0.5294117647058822,0.125,2022MND,,
