n_bins,mean_entropy,purity_ratio,mixed_ratio,mean_jump,max_jump,n_transitions,entropy_trend,session_id,any_funded,funded_rate
3,0.6394319446848299,0.3333333333333333,0.6666666666666666,0.9591479170272448,1.0,2,0.08170416594551044,2021_09_30_MZT_S2,0.0,0.0
5,0.4903004106801969,0.4,0.6,0.661967448142028,0.9182958340544896,3,0.4056390622295664,2021_09_30_MZT_S3,0.0,0.0
3,0.2731494572909345,0.6666666666666666,0.3333333333333333,0.4097241859364017,0.8194483718728034,1,-0.8194483718728034,2021_09_30_MZT_S4,0.0,0.0
3,0.8366562042122724,0.0,1.0,0.20416361070883626,0.3266230554721621,1,-0.4083272214176725,2021_09_30_MZT_S5,1.0,1.0
1,0.9709505944546686,0.0,1.0,0.0,0.0,0,0.0,2021_09_30_MZT_S6,1.0,1.0
12,0.6144126003567477,0.25,0.75,0.4332323887036097,1.0,6,-0.2645148552977876,2021_09_30_MZT_S7,1.0,0.625
6,0.40290051919926423,0.5,0.5,0.6770276094759302,0.8812908992306927,4,-0.07822840386246638,2021_10_01_MZT_S1,0.0,0.0
7,0.4246200130139663,0.42857142857142855,0.5714285714285714,0.3953181861275996,0.9182958340544896,3,-0.3300938558457397,2021_10_01_MZT_S11,1.0,1.0
7,0.5201569259266537,0.42857142857142855,0.5714285714285714,0.5553549496713485,1.0,4,-0.4946525242114363,2021_10_01_MZT_S2,0.0,0.0
7,0.7850408694139601,0.14285714285714285,0.8571428571428571,0.3393563614784125,1.0,2,0.08990921432611432,2021_10_01_MZT_S3,1.0,0.6666666666666666
6,0.6563444622925511,0.16666666666666666,0.8333333333333334,0.30202324440589157,1.0,1,-0.23065027305374342,2021_10_01_MZT_S4,1.0,0.5
7,0.6763143121911023,0.14285714285714285,0.8571428571428571,0.27551601205686355,1.0,2,-0.26143113490815284,2021_10_01_MZT_S5,1.0,0.5
6,0.38170772509836765,0.5,0.5,0.5117039525992683,0.9182958340544896,3,-0.22682734124061343,2021_10_01_MZT_S7,1.0,1.0
5,0.6000675946796086,0.2,0.8,0.5075738699302305,0.8812908992306927,3,-0.09885045324398833,2021_10_01_MZT_S8,0.0,0.0
