session_id,entropy_index_beginning,entropy_time_beginning,n_cdp_index_beginning,n_cdp_time_beginning,entropy_diff_beginning,entropy_index_middle,entropy_time_middle,n_cdp_index_middle,n_cdp_time_middle,entropy_diff_middle,entropy_index_end,entropy_time_end,n_cdp_index_end,n_cdp_time_end,entropy_diff_end,conference
2020_11_06_NES_S7,0.9456603046006402,0.9182958340544896,11,9,-0.027364470546150654,0.0,1.0,1,2,1.0,0.9709505944546686,0.9182958340544896,5,6,-0.052654760400179024,2020NES
2020_11_06_NES_S8,0.9709505944546686,0.9949848281859701,20,24,0.024034233731301535,0.9852281360342516,0.0,7,1,-0.9852281360342516,0.9182958340544896,0.9709505944546686,3,5,0.052654760400179024,2020NES
2020_11_06_NES_S9,0.8366407419411673,0.8366407419411673,15,15,0.0,,,0,0,,0.7219280948873623,0.7219280948873623,10,10,0.0,2020NES
2021_05_20_ABI_S1,0.5916727785823275,0.5916727785823275,14,14,0.0,0.0,,5,0,,0.7827759528141421,0.6398243839286435,11,16,-0.14295156888549865,2021ABI
2021_05_20_ABI_S2,0.8175195311866703,0.6583346267480237,13,24,-0.15918490443864663,0.672294817075638,0.9366673818775626,17,17,0.2643725648019246,0.8314743880097293,0.5435644431995964,19,8,-0.2879099448101329,2021ABI
2021_05_20_ABI_S3,0.8118126881672663,0.8118126881672663,15,15,0.0,0.9182958340544896,0.9182958340544896,3,3,0.0,0.9940302114769565,0.9940302114769565,11,11,0.0,2021ABI
2021_05_20_ABI_S4,0.930586129131993,0.930586129131993,26,26,0.0,0.5435644431995964,0.6500224216483541,8,6,0.1064579784487577,0.8112781244591328,0.74959525725948,12,14,-0.06168286719965288,2021ABI
2021_05_20_ABI_S5,0.797374810639693,0.797374810639693,14,14,0.0,0.7725068857142601,,9,0,,0.576217395521696,0.648001619049965,19,28,0.07178422352826896,2021ABI
2021_05_20_ABI_S6,0.8112781244591328,0.8112781244591328,16,16,0.0,0.9182958340544896,0.9182958340544896,3,3,0.0,0.863120568566631,0.863120568566631,7,7,0.0,2021ABI
2021_05_20_ABI_S7,0.9182958340544896,0.9182958340544896,18,18,0.0,,0.0,0,1,,0.961236604722876,0.9798687566511527,13,12,0.01863215192827672,2021ABI
