conference,session_id,n_meetings,similarity_method,n_chunks_sum,n_moves_sum,funded_rate,any_funded,n_teams,num_funded_teams,outcome_source,n_moves,weighted_ldi,mean_nonzero_weight,forelink_weight_mean,backlink_weight_mean,cross_speaker_weight_ratio,late_minus_early_backlink,forelink_entropy,backlink_entropy,horizon_entropy,overall_link_entropy
2021CMC,2021_10_08_CMC_S3,1,lsa,8.0,272.0,1.0,1.0,1.0,,entropy_with_outcomes,272.0,2.530282672447651,0.1781612443452656,2.530282672447651,2.530282672447651,0.8064825815008612,4.080158193225762,37.4735143102327,34.64790529190846,37.909633766554926,110.03105336869608
2021CMC,2021_10_08_CMC_S4,1,lsa,8.0,152.0,1.0,1.0,1.0,,entropy_with_outcomes,152.0,1.1578506367368078,0.1940389159691232,1.1578506367368078,1.1578506367368078,0.7409729877082253,1.661127896290754,16.414096603249156,16.733178127283423,16.614010330026023,49.761285060558606
2021CMC,2021_10_08_CMC_S5,1,lsa,8.0,214.0,0.6666666666666666,1.0,3.0,,entropy_with_outcomes,214.0,2.228196737007341,0.2057092759791073,2.228196737007341,2.228196737007341,0.7979193696945652,2.5194150924590524,28.88113885676181,30.82558496813063,28.539939308836235,88.24666313372867
2021CMC,2021_10_08_CMC_S6,1,lsa,8.0,164.0,0.0,0.0,2.0,,entropy_with_outcomes,164.0,1.063286431447572,0.19703838955638617,1.063286431447572,1.063286431447572,0.7876683933738257,1.4251832937762547,14.68684975648828,15.76388499645254,15.418911460007093,45.86964621294791
2021CMC,2021_10_08_CMC_S7,1,lsa,8.0,168.0,0.0,0.0,2.0,,entropy_with_outcomes,168.0,1.3461140962173677,0.1969923067635172,1.3461140962173677,1.346114096217368,0.7682729160552687,1.9122561457787408,19.819670179788098,18.214902054172764,19.104414249211125,57.13898648317198
2021CMC,2021_10_08_CMC_S8,1,lsa,8.0,161.0,0.0,0.0,1.0,,entropy_with_outcomes,161.0,0.9434162762235144,0.1861397309705709,0.9434162762235144,0.9434162762235144,0.8204633074545742,1.418165165884973,15.180496832982316,12.745983483358566,12.532322207401815,40.4588025237427
2021CMC,2021_10_08_CMC_S9,1,lsa,8.0,270.0,0.0,0.0,2.0,,entropy_with_outcomes,270.0,1.9837769511638772,0.24705709262649758,1.9837769511638772,1.9837769511638772,0.7789083612446034,2.283765477814998,27.863317595372415,29.005554179227257,25.411745100470274,82.28061687506994
2021MND,2021_04_22_MND_S1,1,lsa,8.0,136.0,1.0,1.0,1.0,1.0,chunk_registry_v1,136.0,0.7570057717398712,0.1715879749277041,0.7570057717398712,0.7570057717398712,0.7339729111648527,1.024646226622258,11.625975718996614,11.29365309370948,11.459891801773962,34.37952061448006
2021MND,2021_04_22_MND_S3,1,lsa,8.0,131.0,0.0,0.0,1.0,0.0,chunk_registry_v1,131.0,1.0634322255096305,0.1520847396744122,1.0634322255096305,1.0634322255096305,0.7812729110920318,1.27836007658513,14.87261467821705,15.070988000150972,13.735957527686704,43.67956020605473
2021MND,2021_04_22_MND_S4,1,lsa,8.0,149.0,1.0,1.0,1.0,1.0,chunk_registry_v1,149.0,0.8287335417105568,0.1862463012290693,0.8287335417105567,0.8287335417105568,0.8144675563738082,1.0678399079059424,12.336605102050392,12.166204211811948,10.958367612273648,35.46117692613599
2021MND,2021_04_22_MND_S5,1,lsa,8.0,141.0,,0.0,0.0,0.0,chunk_registry_v1,141.0,0.8221264492100336,0.170973199614476,0.8221264492100337,0.8221264492100336,0.8283787197551975,1.0694386150169564,11.966234398535123,12.20054703350753,10.958043333027234,35.12482476506989
2021MND,2021_04_22_MND_S6,2,lsa,3.0,28.0,,0.0,0.0,0.0,chunk_registry_v1,26.071428571428573,0.030215816827487998,0.27194235144739276,0.030215816827487998,0.030215816827487998,0.9642857142857143,0.03364045490395668,0.38239741731849547,0.33870664358859276,0.40207996125520745,1.1231840221622957
2021MND,2021_04_22_MND_S7,2,lsa,8.0,152.0,0.0,0.0,2.0,0.0,chunk_registry_v1,106.3157894736842,0.7074422182397184,0.14967512583050427,0.7074422182397184,0.7074422182397183,0.8174323650028119,0.7805912175992322,10.008206009710054,10.638934025879333,10.561441770165658,31.208581805755042
2021MND,2021_04_22_MND_S8,2,lsa,6.0,139.0,0.0,0.0,1.0,0.0,chunk_registry_v1,97.99280575539568,0.6057938130584561,0.20510808774448488,0.6057938130584561,0.6057938130584563,0.8011534339115962,0.7326271279173995,8.770226059700747,8.300691736845351,8.24450784061013,25.315425637156235
2021MND,2021_04_23_MND_S1,2,lsa,7.0,139.0,0.0,0.0,2.0,0.0,chunk_registry_v1,95.48920863309353,0.5936279633087198,0.2027620463972,0.5936279633087198,0.5936279633087198,0.8351717331589068,0.8899963972600377,9.426757716522227,7.8135687224630095,7.521727789000453,24.76205422798569
2021MND,2021_04_23_MND_S10,1,lsa,7.0,159.0,,0.0,0.0,0.0,chunk_registry_v1,159.0,1.067223285983798,0.1786194762857093,1.067223285983798,1.067223285983798,0.8332841991219675,1.4168069339368323,15.922286656627314,14.952096142504677,13.488325481287953,44.362708280419945
2021MND,2021_04_23_MND_S11,1,lsa,6.0,154.0,0.3333333333333333,1.0,3.0,1.0,chunk_registry_v1,154.0,1.2446964764555506,0.1852012148542558,1.2446964764555508,1.2446964764555506,0.6930576362964391,1.6929198790843083,18.294118654353788,17.207956587710928,16.078948709253115,51.58102395131783
2021MND,2021_04_23_MND_S12,1,lsa,7.0,141.0,0.0,0.0,1.0,0.0,chunk_registry_v1,141.0,0.8651484652746712,0.1563922225688828,0.8651484652746713,0.8651484652746714,0.8265344627545581,1.2459061658304855,13.407511443540484,12.189737138493616,11.492148276744864,37.08939685877896
2021MND,2021_04_23_MND_S13,1,lsa,6.0,125.0,,0.0,0.0,0.0,chunk_registry_v1,125.0,0.9497510286496677,0.177457217610177,0.9497510286496677,0.9497510286496677,0.8310555975274796,1.1488072728477865,14.337524289415136,13.563007422978837,12.577711502640009,40.47824321503397
2021MND,2021_04_23_MND_S14,1,lsa,7.0,176.0,,0.0,0.0,0.0,chunk_registry_v1,176.0,1.598750546633331,0.1747702460915939,1.598750546633331,1.598750546633331,0.709246648377887,2.2843116218444797,21.36782149225062,22.919173216445163,22.355050003044067,66.64204471173986
2021MND,2021_04_23_MND_S15,1,lsa,7.0,170.0,,0.0,0.0,0.0,chunk_registry_v1,170.0,1.1423316429207242,0.2037737453268867,1.1423316429207242,1.1423316429207244,0.7897182359276724,1.8711753056799603,17.650570703996234,15.113340244477053,16.013180600450116,48.77709154892339
2021MND,2021_04_23_MND_S16,1,lsa,6.0,89.0,0.0,0.0,3.0,0.0,chunk_registry_v1,89.0,0.4426628873654655,0.1683632349381471,0.4426628873654654,0.4426628873654655,0.767198531612119,0.5289228282211074,6.9777426879033335,6.570743460726991,6.360497870743719,19.90898401937405
2021MND,2021_04_23_MND_S2,1,lsa,7.0,135.0,0.5,1.0,2.0,1.0,chunk_registry_v1,135.0,0.7894011140040957,0.1846952346456723,0.7894011140040957,0.7894011140040958,0.775781993765206,1.2143430282447114,10.838284290994158,10.727986209568392,12.444103282031945,34.0103737825945
2021MND,2021_04_23_MND_S3,1,lsa,6.0,92.0,0.0,0.0,2.0,0.0,chunk_registry_v1,92.0,0.5493164827787175,0.1724816259919522,0.5493164827787175,0.5493164827787175,0.825462985031255,0.8181796920259403,8.135634288446674,6.975054020908169,8.06110594004826,23.171794249403096
