session_id,n_utterances,strict_conv_utt,structural_wrap_utt,strict_conv_time_sec,structural_wrap_time_sec,total_time_sec,strict_conv_rate,structural_wrap_rate,strict_conv_time_last_third_sec,structural_wrap_time_last_third_sec,last_third_time_sec,strict_conv_rate_last_third,structural_wrap_rate_last_third,conference
2021_11_05_NES_S12,255,0,24,0.0,500.0,3433.0,0.0,0.14564520827264782,0.0,245.0,1102.0,0.0,0.22232304900181488,2021NES
2021_11_05_NES_S2,163,0,24,0.0,1310.0,3989.0,0.0,0.3284031085485084,0.0,434.0,1220.0,0.0,0.3557377049180328,2021NES
2021_11_05_NES_S3,315,1,35,13.0,1023.0,5744.0,0.002263231197771588,0.17809888579387187,0.0,302.0,1837.0,0.0,0.16439847577572128,2021NES
2021_11_05_NES_S4,225,1,29,30.0,1493.0,5514.0,0.00544069640914037,0.27076532462821906,0.0,833.0,1655.0,0.0,0.5033232628398792,2021NES
2021_11_05_NES_S5,299,1,36,25.0,1804.0,5493.0,0.004551247041689423,0.3284179865283088,0.0,1153.0,1886.0,0.0,0.6113467656415694,2021NES
2021_11_05_NES_S6,339,2,30,8.0,1316.0,5657.0,0.0014141771256849921,0.2326321371751812,0.0,787.0,1665.0,0.0,0.47267267267267266,2021NES
2021_11_05_NES_S7,347,0,19,0.0,345.0,3256.0,0.0,0.10595823095823095,0.0,71.0,1115.0,0.0,0.06367713004484304,2021NES
2021_11_05_NES_S8,148,0,26,0.0,1455.0,3161.0,0.0,0.46029737424865547,0.0,139.0,447.0,0.0,0.31096196868008946,2021NES
2021_11_05_NES_S9,266,0,22,0.0,515.0,3647.0,0.0,0.14121195503153278,0.0,229.0,1229.0,0.0,0.18633034987794955,2021NES
2021_06_10_SLU_S1,213,0,22,0.0,883.0,3669.0,0.0,0.24066503134369038,0.0,295.0,1160.0,0.0,0.2543103448275862,2021SLU
2021_06_10_SLU_S2,190,0,43,0.0,1178.0,3269.0,0.0,0.3603548485775466,0.0,349.0,1015.0,0.0,0.3438423645320197,2021SLU
2021_06_10_SLU_S3,178,0,22,0.0,743.0,3753.0,0.0,0.19797495337063684,0.0,212.0,1193.0,0.0,0.1777032690695725,2021SLU
2021_06_10_SLU_S4,308,0,29,0.0,708.0,3473.0,0.0,0.20385833573279585,0.0,319.0,1272.0,0.0,0.2507861635220126,2021SLU
2021_06_10_SLU_S5,202,0,42,0.0,1401.0,3955.0,0.0,0.35423514538558787,0.0,445.0,1219.0,0.0,0.36505332239540605,2021SLU
2021_06_10_SLU_S6,249,1,27,23.0,929.0,3764.0,0.006110520722635494,0.24681190223166843,0.0,498.0,1210.0,0.0,0.4115702479338843,2021SLU
2021_06_10_SLU_S7,205,1,22,17.0,1076.0,3508.0,0.004846066134549601,0.30672748004561,0.0,362.0,1230.0,0.0,0.2943089430894309,2021SLU
2021_06_11_SLU_S1,269,1,28,3.0,757.0,3892.0,0.0007708119218910585,0.19450154162384378,0.0,295.0,1418.0,0.0,0.20803949224259521,2021SLU
2021_06_11_SLU_S10,246,0,28,0.0,971.0,3535.0,0.0,0.2746817538896747,0.0,289.0,1137.0,0.0,0.2541776605101143,2021SLU
2021_06_11_SLU_S11,201,0,31,0.0,1048.0,3281.0,0.0,0.3194148125571472,0.0,420.0,1271.0,0.0,0.3304484657749803,2021SLU
2021_06_11_SLU_S12,257,3,19,11.0,610.0,3624.0,0.0030353200883002206,0.1683222958057395,0.0,225.0,1411.0,0.0,0.15946137491141035,2021SLU
2021_06_11_SLU_S13,257,0,20,0.0,478.0,3362.0,0.0,0.1421772754312909,0.0,225.0,1062.0,0.0,0.211864406779661,2021SLU
2021_06_11_SLU_S2,247,0,15,0.0,447.0,3529.0,0.0,0.1266647775573817,0.0,255.0,1214.0,0.0,0.2100494233937397,2021SLU
2021_06_11_SLU_S3,229,0,22,0.0,1375.0,3608.0,0.0,0.38109756097560976,0.0,349.0,1026.0,0.0,0.3401559454191033,2021SLU
2021_06_11_SLU_S4,209,0,22,0.0,981.0,3535.0,0.0,0.2775106082036775,0.0,434.0,1230.0,0.0,0.35284552845528455,2021SLU
