n_bins,mean_entropy,purity_ratio,mixed_ratio,mean_jump,max_jump,n_transitions,entropy_trend,first_third_entropy,last_third_entropy,session_id,any_funded,funded_rate
11,0.24835436001576705,0.7272727272727273,0.2727272727272727,0.2,1.0,2,0.6829744900433594,0.0,0.6829744900433594,2021_05_21_ABI_S11,1.0,0.5
6,0.3274122496537592,0.5,0.5,0.28418181094459183,0.7642045065086203,2,0.2180322424526573,0.38210225325431013,0.6001344957069674,2021_04_23_MND_S11,1.0,0.3333333333333333
18,0.4524704337258719,0.5,0.5,0.36263712804164916,0.9940302114769564,7,-0.4597860343911545,0.5801073835390482,0.12032134914789372,2021_11_05_NES_S4,1.0,1.0
9,0.6301639052692178,0.3333333333333333,0.6666666666666666,0.5,1.0,4,-0.6394319446848298,0.9630821428363859,0.3236501981515562,2021_11_05_NES_S11,1.0,1.0
8,0.2980959305947878,0.625,0.375,0.40394767151532385,1.0,4,-0.4854752972273343,0.4854752972273343,0.0,2021_04_23_MND_S2,1.0,0.5
9,0.6362042329575708,0.3333333333333333,0.6666666666666666,0.26384419643635526,1.0,2,0.2885470245514369,0.6569835314848895,0.9455305560363264,2021_05_20_ABI_S7,1.0,1.0
8,0.28245076545257697,0.625,0.375,0.27701965261679684,0.9182958340544896,2,-0.5281963160708392,0.7688390143666266,0.24064269829578744,2021_05_20_ABI_S6,1.0,0.5
7,0.21461840192038834,0.7142857142857143,0.2857142857142857,0.5007762711475728,0.9544340029249648,4,-0.2945853979565646,0.4772170014624824,0.1826316035059178,2021_04_23_MND_S5,1.0,0.5
17,0.4944183738258252,0.4117647058823529,0.5294117647058824,0.3754404143169021,1.0,7,-0.3135475597001545,0.6984707926474454,0.38492323294729086,2021_11_05_NES_S6,1.0,0.25
20,0.41411554406012846,0.55,0.45,0.5840938919840857,1.0,12,0.10303886237915444,0.30133569184740777,0.4043745542265622,2021_11_05_NES_S5,1.0,0.6666666666666666
10,0.44839181192871447,0.5,0.5,0.42298693990207753,0.9182958340544896,4,-0.46584542353417463,0.9067571162034062,0.4409116926692315,2021_05_20_ABI_S4,1.0,1.0
10,0.3753726547268811,0.6,0.4,0.5314195503126825,1.0,5,0.2318123310089531,0.26092531760471405,0.49273764861366715,2021_05_20_ABI_S3,1.0,1.0
10,0.2836591668108979,0.7,0.3,0.5192425929131065,1.0,5,-0.4098579861712075,0.6394319446848299,0.2295739585136224,2021_10_08_CMC_S7,0.0,0.0
11,0.48871459256968114,0.45454545454545453,0.5454545454545454,0.44257932533214284,1.0,5,-0.36684899153888173,0.8464229500525041,0.4795739585136224,2021_10_08_CMC_S11,0.0,0.0
11,0.457932533456564,0.45454545454545453,0.5454545454545454,0.45044616596625164,0.9852281360342516,5,0.05621014111424083,0.546741309647284,0.6029514507615248,2021_11_05_NES_S2,0.0,0.0
7,0.13118511915064138,0.8571428571428571,0.14285714285714285,0.3060986113514965,0.9182958340544896,2,0.3060986113514965,0.0,0.3060986113514965,2021_10_08_CMC_S12,0.0,0.0
17,0.31270245838973804,0.6470588235294118,0.35294117647058826,0.4890213326679654,1.0,9,0.48786076312086446,0.12889332904051745,0.6167540921613819,2021_11_05_NES_S3,0.0,0.0
10,0.40616901206695344,0.5,0.5,0.3444649069179753,1.0,4,-0.07139780149648434,0.6210401895222103,0.549642388025726,2022_04_08_MND_S1,0.0,0.0
6,0.4183281021061362,0.5,0.5,0.4653246110944324,1.0,3,-0.33668847226391896,0.7958363892911637,0.4591479170272448,2022_04_08_MND_S4,0.0,0.0
9,0.39885288270331115,0.5555555555555556,0.4444444444444444,0.598255460437116,1.0,5,-0.07584130683352869,0.3164840051293161,0.24064269829578744,2022_04_08_MND_S11,0.0,0.0
11,0.6714616227888754,0.2727272727272727,0.7272727272727273,0.3221233343744357,0.9182958340544896,3,-0.23588515663216125,0.9435406265286451,0.7076554698964839,2021_11_05_NES_S9,0.0,0.0
5,0.3238584551087159,0.6,0.4,0.20363552445845473,0.8112781244591328,1,0.8096461377717898,0.0,0.8096461377717898,2021_11_04_NES_S2,0.0,0.0
7,0.49455146817915513,0.42857142857142855,0.5714285714285714,0.6249104636182977,1.0,5,0.6394319446848299,0.0,0.6394319446848299,2021_10_08_CMC_S2,0.0,0.0
12,0.5636042441615298,0.3333333333333333,0.5833333333333334,0.4088372939415377,1.0,5,0.5058549675977764,0.21747888244340646,0.7233338500411829,2021_11_05_NES_S7,0.0,0.0
6,0.6439926897758549,0.3333333333333333,0.6666666666666666,0.40547289410923015,1.0,2,0.4863177647269247,0.4728301523003201,0.9591479170272448,2021_10_08_CMC_S9,0.0,0.0
